league,date,game,actual,preLine,postLine,draftDelta,draftSignal,deviation,absDeviation,isOverLine,draftConfidence,topPickEffects
LPL,2026-05-16,ThunderTalk Gaming vs EDward Gaming,25,25.5,26.5,0.61,NEUTRO,-0.5,0.5,false,0.903,ADC Ashe +2.67 | SUP Seraphine +1.61 | TOP KSante -1.32 | ADC Senna -1.22 | SUP Alistar +1.15
LPL,2026-05-16,ThunderTalk Gaming vs EDward Gaming,20,25.5,26.5,0.58,NEUTRO,-5.5,5.5,false,0.906,ADC Jhin +2.8 | JUNGLE Jarvan IV +1.35 | MID Azir +0.96 | ADC Corki +0.73 | JUNGLE Naafiri -0.63
LPL,2026-05-16,EDward Gaming vs ThunderTalk Gaming,43,24.5,25.5,1.16,OVER,18.5,18.5,true,0.859,TOP Jayce +2.06 | MID Akali +1.61 | ADC Zeri +1.31 | MID Aurora +1.17 | SUP Neeko +1.12
LPL,2026-05-16,Team WE vs Ninjas in Pyjamas,38,26.5,26.5,-0.01,NEUTRO,11.5,11.5,true,0.913,MID Orianna +2.17 | TOP KSante -1.58 | SUP Seraphine +1.31 | TOP Renekton -0.98 | JUNGLE Vi +0.84
LPL,2026-05-16,Team WE vs Ninjas in Pyjamas,22,28.5,28.5,-0.67,NEUTRO,-6.5,6.5,false,0.876,JUNGLE Trundle -2.47 | ADC Caitlyn -1.77 | TOP Gragas +1.7 | TOP Jayce +1.29 | MID Annie -1.22
LPL,2026-05-16,Team WE vs Ninjas in Pyjamas,25,27.5,25.5,-1.39,UNDER,-2.5,2.5,false,0.893,SUP Milio -2.8 | ADC Lucian -2.53 | MID Twisted Fate -2.1 | JUNGLE Naafiri -1.17 | TOP Shen -1.1
LPL,2026-05-17,Invictus Gaming vs JD Gaming,42,26.5,26.5,0.01,NEUTRO,15.5,15.5,true,0.913,SUP Milio -2.8 | ADC Ashe +2.39 | ADC Lucian -2.39 | SUP Seraphine +1.46 | JUNGLE Naafiri -1.09
LPL,2026-05-17,Invictus Gaming vs JD Gaming,30,28.5,27.5,-0.68,NEUTRO,1.5,1.5,true,0.899,JUNGLE Trundle -2.65 | ADC Jhin +2.24 | TOP KSante -1.91 | TOP Renekton -1.37 | MID Akali +1.14
LPL,2026-05-17,JD Gaming vs Invictus Gaming,39,28.5,27.5,-0.62,NEUTRO,10.5,10.5,true,0.89,ADC Caitlyn -2.09 | MID Viktor +1.16 | ADC Ezreal -0.96 | TOP Gnar -0.71 | JUNGLE Skarner -0.64
LPL,2026-05-17,Bilibili Gaming vs Anyone s Legend,42,29.5,28.5,-0.62,NEUTRO,12.5,12.5,true,0.913,MID Twisted Fate -2.8 | ADC Jhin +1.77 | JUNGLE Naafiri -1.7 | MID Ryze -1.07 | SUP Karma -0.93
LPL,2026-05-17,Anyone s Legend vs Bilibili Gaming,29,31.5,29.5,-2.14,UNDER,-2.5,2.5,false,0.901,ADC Lucian -2.8 | SUP Milio -2.8 | MID Annie -2.36 | TOP Yorick -2.27 | ADC Ezreal -1.81
